name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Polonnaruwa,2017-10-01,34.7,25.2,29.3,39,25.2,32.3,22.5,67.9,0.52,100,8.33,rain,0,0,51.1,24.1,247.7,1009,36.2,20,260.9,22.5,10,,2017-10-01T05:54:03,2017-10-01T17:57:08,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-02,35.8,24.7,29.5,39.2,24.7,32,22.2,66.5,0,0,0,,0,0,51.5,22.3,248.9,1008,44.8,20,266.3,23,10,,2017-10-02T05:53:57,2017-10-02T17:56:35,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-03,35.6,25,29.4,39.6,25,32.4,22.7,68.4,0.4,100,4.17,rain,0,0,47.9,22.3,248.7,1007.8,51.2,20,255,22,10,,2017-10-03T05:53:51,2017-10-03T17:56:03,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-04,35.5,25,29.2,39.6,25,31.8,22.6,69.3,0.022,100,4.17,rain,0,0,48.6,23,252.1,1007.6,62.3,20,270.8,23.4,9,,2017-10-04T05:53:45,2017-10-04T17:55:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-05,36.8,24.9,29,43.1,24.9,32.3,23.4,72.8,1.8,100,12.5,rain,0,0,44.3,20.5,249,1006.8,78.1,20,244.7,21.3,9,,2017-10-05T05:53:39,2017-10-05T17:55:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-06,33.9,24.8,28.9,38.5,24.8,31.9,23.1,71.9,1.543,100,8.33,rain,0,0,47.2,20.9,245.5,1006.9,82.5,20,222.5,19.1,8,,2017-10-06T05:53:34,2017-10-06T17:54:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-07,35.1,24.8,29.3,40.4,24.8,32.8,23,69.5,0.083,100,4.17,rain,0,0,43.2,18.7,232.5,1007.4,89.7,20,245.8,21.2,9,,2017-10-07T05:53:30,2017-10-07T17:54:00,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-08,35,24.1,29.2,39.9,24.1,32.1,23.2,71.6,0.14,100,8.33,rain,0,0,44.6,19.8,251.1,1006.8,71.6,19.9,247.5,21.6,8,,2017-10-08T05:53:25,2017-10-08T17:53:30,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-09,34.9,25.1,29,39.4,25.1,31.4,22.7,70.3,8.089,100,12.5,rain,0,0,44.3,19.4,253,1006.5,90.1,20,247,21.5,8,,2017-10-09T05:53:21,2017-10-09T17:53:00,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-10,35.4,24.4,28.8,38.7,24.4,31.8,23,72.4,3.545,100,8.33,rain,0,0,38.9,19.1,257.9,1005.8,87.3,19.5,225.7,19.5,9,,2017-10-10T05:53:18,2017-10-10T17:52:31,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-11,32.3,24.4,27.8,36.5,24.4,29.9,23.3,77.4,17.672,100,16.67,rain,0,0,40.7,16.2,248.2,1006.8,95,19,162.4,14.1,7,,2017-10-11T05:53:14,2017-10-11T17:52:03,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-12,30,24.3,26.8,34.8,24.3,28.8,23.3,81.4,12.097,100,20.83,rain,0,0,43.2,19.1,255.8,1007.3,95.1,19.3,135.8,11.7,6,,2017-10-12T05:53:12,2017-10-12T17:51:35,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-13,32.9,24.5,27.9,37.2,24.5,30.2,23.1,75.9,12.864,100,16.67,rain,0,0,54,23,254.3,1006.7,74.4,19.9,206.8,17.8,8,,2017-10-13T05:53:10,2017-10-13T17:51:08,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-14,30.8,24.5,26.9,35.2,24.5,28.7,23.1,80.3,13.295,100,25,rain,0,0,60.5,28.8,250.4,1007.1,83.1,19.2,190.3,16.4,7,,2017-10-14T05:53:08,2017-10-14T17:50:41,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-15,30.9,24.8,27.6,34.5,24.8,29.6,23.1,77.2,1.414,100,12.5,rain,0,0,58,27.7,251.7,1007.7,93.5,19,169.9,14.7,7,,2017-10-15T05:53:07,2017-10-15T17:50:15,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-16,33.1,25.5,28.9,36.2,25.5,31.3,22.6,69.9,0,0,0,,0,0,56.5,27,256.8,1007.4,93.7,20,243,21,9,,2017-10-16T05:53:06,2017-10-16T17:49:49,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-17,31.8,24.6,27.5,35.5,24.6,29.4,23.4,79.4,11.931,100,8.33,rain,0,0,58.7,22.3,264.7,1007.2,96.1,19.6,170.2,14.6,8,,2017-10-17T05:53:06,2017-10-17T17:49:24,0.91,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-18,33.8,24.8,28.1,38.2,24.8,30.3,23.1,75.2,4.204,100,20.83,rain,0,0,49.7,22,251.4,1007,75.4,19.8,222.6,19.3,9,,2017-10-18T05:53:06,2017-10-18T17:49:00,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-19,33.1,24.2,28.2,37.9,24.2,30.9,23,74,1.422,100,8.33,rain,0,0,46.1,20.5,246.6,1007.6,51.8,20,228.7,20,9,,2017-10-19T05:53:07,2017-10-19T17:48:36,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-20,32.1,24.6,28.1,35.5,24.6,30.5,22.7,73,1.078,100,20.83,rain,0,0,52.9,23,242.5,1009.1,73.1,19.7,215.8,18.7,8,,2017-10-20T05:53:08,2017-10-20T17:48:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-21,34.4,25.3,29.4,37.2,25.3,31.8,21.9,65.6,0,0,0,,0,0,50,23,251.6,1010,56.6,20,262.8,22.8,9,,2017-10-21T05:53:10,2017-10-21T17:47:51,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-22,33.9,24.2,28.7,38.7,24.2,31.4,22.9,72.1,0.781,100,16.67,rain,0,0,46.1,21.2,253.3,1010.3,46.1,19.9,253.1,22.2,9,,2017-10-22T05:53:13,2017-10-22T17:47:30,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
Polonnaruwa,2017-10-23,33.8,24.8,29,38.3,24.8,32.1,23.1,71.8,2.573,100,8.33,rain,0,0,37.8,18,257.7,1009.9,67.2,19.9,185.4,16,8,,2017-10-23T05:53:16,2017-10-23T17:47:09,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43444099999,43422099999,remote,43418099999,43436099999"
